Brand,Model,Edition,Year of Manufacture,Transmission,Fuel Type,Body Type,Engine Capacity (cc),Mileage (km),Price (Rs.),Negotiable,Rs. Per km
Suzuki,Alto,,2017,Automatic,Petrol,Hatchback,650 cc,"75,000 km","Rs 5,690,000",No,
Mitsubishi,Montero,Mitsubishi,2013,Automatic,Petrol,SUV / 4x4,"2,200 cc","180,000 km","Rs 26,000,000",Yes,
Peugeot,3008,GT Line,2019,Automatic,Petrol,SUV / 4x4,"1,200 cc","56,500 km","Rs 22,100,000",No,
Mercedes Benz,C180,W204,2010,Tiptronic,Petrol,Saloon,"1,590 cc","99,000 km","Rs 11,200,000",Yes,
Mitsubishi,Lancer,Station Wagon,1978,Manual,Petrol,Station wagon,"1,400 cc","83,620 km","Rs 790,000",Yes,
DFSK,Glory,580,2021,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","16,000 km","Rs 10,500,000",Yes,
Daewoo,Other Model,Matiz,1999,Manual,Petrol,Hatchback,800 cc,"121,850 km","Rs 1,490,000",Yes,
Audi,Q3,S Line,2019,Tiptronic,Petrol,Hatchback,"1,500 cc","60,000 km","Rs 28,000,000",Yes,
Toyota,Land Cruiser Prado,First Edition 250,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc","6,000 km","Rs 69,900,000",No,
Toyota,CHR,Gr Sport Black,2023,Automatic,Petrol,Saloon,"1,200 cc","1,250 km","Rs 20,800,000",Yes,
Toyota,Corolla,141 LX,2008,Automatic,Petrol,Saloon,"1,600 cc","108,000 km","Rs 6,990,000",No,
Nissan,Sunny,Sunny Super Saloon,1986,Manual,Petrol,Saloon,"1,500 cc","158,000 km","Rs 1,850,000",Yes,
Toyota,Land Cruiser Prado,Tx 150,2010,Automatic,Petrol,SUV / 4x4,"2,500 cc","141,000 km","Rs 27,850,000",Yes,
Toyota,Yaris,G Grade,2023,Automatic,Petrol,Hatchback,990 cc,"9,700 km","Rs 12,750,000",Yes,
BMW,320d,2012,2012,Automatic,Diesel,Saloon,"2,000 cc","95,500 km","Rs 18,700,000",Yes,
Toyota,Vitz,Safety Package,2017,Automatic,Petrol,Hatchback,"1,000 cc","90,000 km","Rs 8,450,000",Yes,
Jaguar,XF,2013,2013,Automatic,Diesel,Saloon,"2,200 cc","129,000 km","Rs 16,500,000",No,
Perodua,Kelisa,,2006,Manual,Petrol,Hatchback,"1,000 cc","198,000 km","Rs 2,980,000",No,
Toyota,Harrier,PRADO PREMIUM,2015,Automatic,Hybrid,SUV / 4x4,"2,000 cc","102,000 km","Rs 21,750,000",No,
Nissan,Sunny,,1999,Automatic,Petrol,Saloon,"1,490 cc","170,000 km","Rs 4,300,000",No,
Toyota,Land Cruiser Prado,250,2024,Automatic,Petrol,SUV / 4x4,"2,700 cc",250 km,"Rs 61,000,000",Yes,
Toyota,Starlet,,1987,Manual,Diesel,Hatchback,"1,500 cc","180,000 km","Rs 1,790,000",Yes,
Toyota,Land Cruiser Sahara,LC300,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",300 km,"Rs 91,000,000",Yes,
Suzuki,Baleno,Suzuki,2018,Automatic,Petrol,Hatchback,"1,000 cc","50,500 km","Rs 8,350,000",No,
Toyota,Land Cruiser Prado,2015,2015,Automatic,Petrol,SUV / 4x4,"2,690 cc","78,000 km","Rs 37,500,000",Yes,
BMW,X1,S Drive 18i M Sports,2018,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","83,000 km","Rs 21,500,000",Yes,
Suzuki,Baleno,Suzuki,2018,Automatic,Petrol,Hatchback,"1,000 cc","50,500 km","Rs 8,350,000",No,
DFSK,Glory,580,2023,Automatic,Petrol,SUV / 4x4,"1,500 cc","40,000 km","Rs 11,500,000",Yes,
Honda,CRV,VIT-L 7 Seater B/New,2024,Automatic,Petrol,SUV / 4x4,"1,500 cc",20 km,"Rs 33,000,000",Yes,
Honda,CRV,2018,2018,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","98,834 km","Rs 21,500,000",Yes,
Toyota,Yaris,X Grade,2023,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 10,865,000",Yes,
Toyota,CHR,2017,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","107,000 km","Rs 13,800,000",No,
Ford,Festiva,Ford,1993,Manual,Petrol,Hatchback,"1,300 cc","66,000 km","Rs 1,250,000",Yes,
Honda,N-Box,G Grade,2023,Automatic,Petrol,Saloon,650 cc,"40,000 km","Rs 8,100,000",Yes,
Daihatsu,Other Model,TAFT G Dark Chrome,2025,Tiptronic,Petrol,Hatchback,650 cc,0 km,"Rs 9,300,000",Yes,
Mercedes Benz,E250,E250 Avant-Garde,2012,Tiptronic,Petrol,Saloon,"1,796 cc","148,000 km","Rs 14,950,000",Yes,
Mercedes Benz,CLA 200,2019,2019,Automatic,Petrol,Coupé/Sports,"1,332 cc","100,000 km","Rs 25,250,000",Yes,
Honda,Civic,Honda Civic Ex Tech,2019,Automatic,Petrol,Saloon,"1,000 cc","62,000 km","Rs 14,750,000",Yes,
Audi,Q3,S Line,2023,Tiptronic,Petrol,SUV / 4x4,"1,500 cc","10,600 km","Rs 31,500,000",No,
Mercedes Benz,C200,AMG Premium Plus,2019,Automatic,Petrol,Saloon,"1,500 cc","38,000 km","Rs 33,000,000",Yes,
Suzuki,Alto,800,2015,Manual,Petrol,Hatchback,800 cc,"80,900 km","Rs 3,695,000",No,
Porsche,718 Boxter,,2017,Automatic,Petrol,Convertible,"2,500 cc","21,000 km","Rs 52,500,000",Yes,
Toyota,Yaris,Belta Body,2011,Automatic,Petrol,Saloon,"1,300 cc","112,000 km","Rs 7,985,000",Yes,
Toyota,Land Cruiser Prado,Diesal Fully Loaded,2014,Automatic,Diesel,SUV / 4x4,"3,000 cc","112,000 km","Rs 49,500,000",Yes,
Toyota,CHR,GRsport Black editn,2023,Tiptronic,Petrol,Saloon,"1,200 cc","1,450 km","Rs 20,600,000",Yes,
Audi,A6,,2012,Automatic,Petrol,Saloon,"2,000 cc","95,000 km","Rs 14,900,000",Yes,
Mercedes Benz,C200,AMG Premium Plus,2019,Automatic,Petrol,Saloon,"1,500 cc","57,000 km","Rs 31,500,000",Yes,
Suzuki,Alto,800,2010,Manual,Petrol,Hatchback,800 cc,"115,400 km","Rs 2,995,000",No,
Suzuki,A-Star,2010,2010,Automatic,Petrol,Hatchback,"1,000 cc","150,000 km","Rs 4,130,000",No,
Toyota,Yaris,X Grade,2023,Automatic,Petrol,Hatchback,"1,000 cc","2,000 km","Rs 10,850,000",Yes,
Kia,Sportage,Orange Package,2012,Automatic,Diesel,SUV / 4x4,"2,000 cc","190,000 km","Rs 11,750,000",No,
Toyota,Land Cruiser Prado,Toyota,2018,Automatic,Petrol,SUV / 4x4,"2,900 cc","103,000 km","Rs 55,000,000",No,
Toyota,Hilux,107 SSRX,1991,Manual,Diesel,SUV / 4x4,"2,800 cc","302,000 km","Rs 6,690,000",Yes,
DFSK,Glory,I Auto,2022,Automatic,Petrol,SUV / 4x4,"1,500 cc","27,000 km","Rs 11,900,000",Yes,
Mahindra,KUV 100,,2022,Manual,Petrol,Hatchback,"1,190 cc","5,000 km","Rs 6,500,000",No,
Kia,Sportage,,2011,Automatic,Petrol,SUV / 4x4,"2,000 cc","166,000 km","Rs 9,890,000",No,
Toyota,Passo,,2008,Automatic,Petrol,Hatchback,990 cc,"85,000 km","Rs 5,100,000",Yes,
Ferrari,Other Model,296GTS ROSSO CORSA,2024,Automatic,Petrol,Coupé/Sports,"2,996 cc",0 km,"Rs 295,000,000",Yes,
Toyota,Land Cruiser Prado,TX 2017,2017,Automatic,Petrol,SUV / 4x4,"2,700 cc","81,000 km","Rs 46,750,000",Yes,
Nissan,Sunny,1979,1979,Manual,Petrol,Saloon,"1,200 cc","37,500 km","Rs 550,000",Yes,
Honda,Grace,EX Package,2016,Tiptronic,Hybrid,Saloon,"1,500 cc","104,500 km","Rs 11,250,000",Yes,
Hyundai,Matrix,2002,2002,Manual,Petrol,Hatchback,"1,500 cc","96,000 km","Rs 1,375,000",Yes,
Mitsubishi,Lancer,1979,1979,Manual,Petrol,Saloon,"1,400 cc","75,000 km","Rs 695,000",Yes,
Honda,CRV,Fully Loaded,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","106,000 km","Rs 19,800,000",Yes,
Toyota,Aqua,Toyota,2017,Automatic,Hybrid,Hatchback,"1,500 cc","127,000 km","Rs 9,800,000",Yes,
Toyota,Land Cruiser Prado,2014,2014,Automatic,Petrol,SUV / 4x4,"2,700 cc","67,000 km","Rs 39,500,000",Yes,
Land Rover,Defender,110,2024,Automatic,Hybrid,SUV / 4x4,"2,000 cc",10 km,"Rs 80,000,000",Yes,
Daihatsu,Mira,X LTD,2023,Automatic,Petrol,Hatchback,650 cc,"4,500 km","Rs 7,150,000",Yes,
Toyota,Land Cruiser Sahara,V6 Diesel 7 seat B/N,2025,Automatic,Diesel,SUV / 4x4,"3,500 cc",20 km,"Rs 129,500,000",Yes,
Honda,Fit,GP 1,2012,Automatic,Petrol,Hatchback,"1,330 cc","127,000 km","Rs 7,150,000",Yes,
Daihatsu,Other Model,Taft G Turbo Dark,2024,Automatic,Petrol,Hatchback,660 cc,0 km,"Rs 9,850,000",Yes,
Land Rover,Range Rover Velar,R Dynamic PremiumHSE,2018,Automatic,Petrol,SUV / 4x4,"2,000 cc","44,500 km","Rs 44,950,000",Yes,
Toyota,Raize,X GRADE 20000KM,2023,Automatic,Petrol,Hatchback,"1,000 cc","20,000 km","Rs 13,890,000",Yes,
Toyota,Aqua,S Grade,2015,Automatic,Hybrid,Hatchback,"1,500 cc","131,000 km","Rs 9,450,000",Yes,
Perodua,Bezza,2017,2017,Automatic,Petrol,Saloon,"1,000 cc","65,500 km","Rs 7,000,000",Yes,
Honda,Fit Aria,,2008,Automatic,Petrol,Saloon,"1,500 cc","192,186 km","Rs 5,250,000",Yes,
Toyota,Land Cruiser Prado,TXL,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","9,500 km","Rs 51,900,000",No,
Honda,Vezel,Z PLAY SUNROOF 360⁰,2024,Tiptronic,Hybrid,Saloon,"1,500 cc",18 km,"Rs 2,485,000,000",Yes,
Daihatsu,Mira,mira ex,2024,Automatic,Petrol,Hatchback,650 cc,"2,600 km","Rs 7,390,000",No,
Toyota,Allion,,2003,Automatic,Petrol,,"1,500 cc","166,560 km","Rs 7,395,000",No,
MG,ZS,,2019,Automatic,Petrol,SUV / 4x4,"1,000 cc","35,000 km","Rs 10,450,000",Yes,
Toyota,CHR,,2018,Automatic,Petrol,SUV / 4x4,"1,199 cc","147,000 km","Rs 14,950,000",No,
Toyota,Vitz,Toyota,2016,Automatic,Petrol,,"1,000 cc","50,000 km","Rs 8,200,000",Yes,
Toyota,Prius,2013,2013,Automatic,Hybrid,Saloon,"1,800 cc","108,000 km","Rs 11,600,000",Yes,
Honda,Grace,EX 1st Owner,2015,Automatic,Hybrid,Saloon,"1,500 cc","118,000 km","Rs 10,650,000",No,
Honda,Fit Shuttle,,2011,Automatic,Petrol,,"1,330 cc","224,000 km","Rs 8,660,000",No,
Toyota,Harrier,Z leather package,2025,Automatic,Petrol,SUV / 4x4,"2,000 cc",7 km,"Rs 38,000,000",Yes,
Toyota,Vitz,,2018,Automatic,Petrol,Hatchback,990 cc,"96,000 km","Rs 9,300,000",Yes,
Mercedes Benz,C230,,2006,Automatic,Petrol,,"2,496 cc","124,272 km","Rs 11,000,000",No,
Toyota,Premio,Toyota Premio G,2012,Automatic,Petrol,Saloon,"1,490 cc","182,000 km","Rs 12,500,000",Yes,
Toyota,Hilux,Toyota,1982,Manual,Diesel,,"2,188 cc","200,000 km","Rs 2,200,000",Yes,
Honda,City,RS Turbo,2025,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 14,800,000",Yes,
Nissan,Sunny,Fb 13 Doctor Sunny,1993,Manual,Diesel,Saloon,"1,700 cc","214,820 km","Rs 1,850,000",Yes,
Jaguar,XF,3.0 V6 Fully Loaded,2011,Automatic,Petrol,Saloon,"3,000 cc","65,000 km","Rs 15,500,000",Yes,
Toyota,Other Model,LC300,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc",900 km,"Rs 91,000,000",Yes,
Toyota,Premio,G Superior,2016,Automatic,Petrol,Saloon,"1,500 cc","106,000 km","Rs 16,400,000",Yes,
Suzuki,Spacia,XS Custome Z,2024,Automatic,Hybrid,Hatchback,660 cc,"9,500 km","Rs 11,150,000",Yes,
Nissan,X-Trail,,2015,Automatic,Hybrid,SUV / 4x4,"1,500 cc","101,000 km","Rs 13,000,000",Yes,
Lexus,Other Model,LX600,2024,Automatic,Petrol,SUV / 4x4,"3,500 cc","3,000 km","Rs 135,000,000",Yes,
Toyota,Carina,My Road AA60,1983,Manual,Diesel,Saloon,"1,450 cc","45,000 km","Rs 800,000",Yes,
Toyota,Yaris,X Safety,2022,Automatic,Petrol,Hatchback,"1,000 cc","41,000 km","Rs 10,650,000",Yes,
Toyota,Corolla,Toyota,1972,Manual,Petrol,,"1,200 cc","300,000 km","Rs 1,050,000",No,
Daihatsu,Other Model,G Dark Venture,2024,Automatic,Petrol,Hatchback,660 cc,"8,900 km","Rs 9,390,000",Yes,
Kia,Sorento,Kia,2011,Tiptronic,Diesel,SUV / 4x4,"2,200 cc","112,000 km","Rs 12,000,000",Yes,
Peugeot,5008,GT,2019,Automatic,Petrol,SUV / 4x4,"1,200 cc","55,000 km","Rs 23,000,000",Yes,
Ssang Yong,Korando,2012,2012,Automatic,Diesel,SUV / 4x4,"2,000 cc","149,999 km","Rs 6,200,000",No,
Toyota,Corsa,,1996,Automatic,Diesel,Saloon,"1,450 cc","305,399 km","Rs 2,600,000",Yes,
Jeep,Compass,Limited,2019,Automatic,Petrol,SUV / 4x4,"1,400 cc","16,400 km","Rs 22,000,000",Yes,
Honda,CRV,2018,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","56,000 km","Rs 23,500,000",Yes,
Toyota,Aqua,,2012,Automatic,Hybrid,Hatchback,"1,500 cc","199,700 km","Rs 6,999,000",No,
Nissan,Navara,Aventura,2006,Automatic,Diesel,Coupé/Sports,"2,500 cc","125,000 km","Rs 7,025,000",Yes,
Audi,A3,Sportback,2018,Automatic,Petrol,Hatchback,"1,000 cc","72,000 km","Rs 15,500,000",Yes,
Nissan,Bluebird,EU11,1988,Manual,Diesel,Saloon,"1,950 cc","250,000 km","Rs 1,275,000",Yes,
Nissan,Dayz,Rooxs Highway star,2024,Automatic,Hybrid,Hatchback,660 cc,"3,000 km","Rs 9,650,000",No,
Toyota,Land Cruiser Sahara,LC 300 ZX,2023,Automatic,Petrol,SUV / 4x4,"3,440 cc","6,200 km","Rs 107,500,000",Yes,
Perodua,Bezza,,2016,Automatic,Petrol,Hatchback,998 cc,"74,383 km","Rs 7,190,000",No,
Nissan,Qashqai,Tekna Plus,2018,Automatic,Petrol,SUV / 4x4,"1,200 cc","80,000 km","Rs 14,800,000",Yes,
Audi,A6,TFSI Fully Loaded,2017,Automatic,Petrol,Saloon,"1,800 cc","85,000 km","Rs 23,900,000",Yes,
Daihatsu,Terios,"""PREMIUM"" KY-",2014,Automatic,Petrol,SUV / 4x4,"1,500 cc","116,000 km","Rs 8,475,000",No,
Mini,Cooper,Sport Twin Turbo,2019,Automatic,Petrol,Hatchback,"1,200 cc","28,000 km","Rs 14,900,000",Yes,
Honda,Fit,S Grade,2015,Automatic,Hybrid,Hatchback,"1,500 cc","72,000 km","Rs 9,550,000",Yes,
Audi,e-tron,Q8 Sportback,2024,Automatic,Electric,SUV / 4x4,245 cc,0 km,"Rs 48,500,000",Yes,
Toyota,Passo,Toyota,2018,Automatic,Petrol,Hatchback,"1,000 cc","98,000 km","Rs 7,690,000",Yes,
Land Rover,Range Rover Velar,R Dynamic,2018,Automatic,Petrol,SUV / 4x4,"2,000 cc","89,000 km","Rs 49,500,000",Yes,
MG,MG4 X,I Smart Amotriz,2024,Automatic,Electric,SUV / 4x4,125 cc,0 km,"Rs 17,650,000",Yes,
Honda,CRV,,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","63,299 km","Rs 21,500,000",Yes,
Lexus,NX300H,F Sport,2015,Automatic,Hybrid,SUV / 4x4,"2,500 cc","117,000 km","Rs 28,500,000",Yes,
Toyota,Corolla,Toyota,1992,Manual,Petrol,Saloon,"1,500 cc","250,000 km","Rs 2,200,000",Yes,
Toyota,Land Cruiser Sahara,ZX 70TH ANNIVERSARY,2023,Automatic,Petrol,SUV / 4x4,"3,440 cc","8,200 km","Rs 109,000,000",Yes,
Suzuki,Hustler,Tough Wild,2025,Automatic,Hybrid,Hatchback,660 cc,0 km,"Rs 9,675,000",Yes,
Audi,A1,,2018,Tiptronic,Petrol,Hatchback,"1,000 cc","59,746 km","Rs 10,500,000",Yes,
Maserati,Other Model,Quattroporte S 3L,2018,Automatic,Petrol,Saloon,"3,000 cc","7,500 km","Rs 120,000,000",No,
Honda,Vezel,RS Sensing,2017,Automatic,Hybrid,SUV / 4x4,"1,500 cc","128,000 km","Rs 13,000,000",Yes,
Honda,CRV,Honda,2019,Automatic,Petrol,SUV / 4x4,"1,500 cc","85,000 km","Rs 22,500,000",No,
Toyota,Land Cruiser Prado,TRJ 150 TX-L,2023,Automatic,Petrol,Hatchback,"2,700 cc","4,000 km","Rs 59,500,000",Yes,
Toyota,Hilux,Revo Single Cab 4x4,2025,Manual,Diesel,SUV / 4x4,"2,800 cc",0 km,"Rs 14,150,000",Yes,
Toyota,Corolla,cross hybrid,2025,Automatic,Hybrid,SUV / 4x4,"1,800 cc",10 km,"Rs 29,800,000",Yes,
Daihatsu,Other Model,TAFT G Turbo Chrome,2024,Automatic,Petrol,SUV / 4x4,650 cc,0 km,"Rs 9,950,000",Yes,
Kia,Sorento,1-20 Option,2015,Automatic,Diesel,SUV / 4x4,"2,200 cc","149,000 km","Rs 25,000,000",Yes,
Daihatsu,Other Model,TAFT G Chrome,2024,Automatic,Petrol,Hatchback,650 cc,"5,600 km","Rs 9,450,000",Yes,
Toyota,Hilux,GR sport,2024,Automatic,Diesel,,"2,755 cc",0 km,"Rs 31,500,000",No,
Ford,Ranger,RAPTOR,2025,Automatic,Diesel,,"1,996 cc",35 km,"Rs 36,500,000",No,
Mitsubishi,Lancer,A143 V,1984,Manual,Petrol,,"1,200 cc","757,749 km","Rs 600,000",Yes,
Toyota,Corolla,,1980,Manual,Petrol,Station wagon,"1,300 cc","175,000 km","Rs 1,350,000",Yes,
BMW,740e,740e,2017,Automatic,Petrol,Saloon,"2,000 cc","30,000 km","Rs 43,000,000",Yes,
Honda,Vezel,Z Premium Plus Edit,2024,Automatic,Hybrid,Saloon,"1,500 cc","2,500 km","Rs 23,400,000",Yes,
Toyota,Yaris,X Safety Limited,2024,Automatic,Petrol,Hatchback,"1,000 cc","34,000 km","Rs 10,850,000",Yes,
Toyota,Hilux,CHAMP,2025,Manual,Diesel,,"2,393 cc",0 km,"Rs 12,850,000",No,
Toyota,Raize,Z gread Fully load,2024,Automatic,Hybrid,Saloon,"1,200 cc",25 km,"Rs 16,900,000",Yes,
Land Rover,Range Rover,2019,2019,Automatic,Hybrid,SUV / 4x4,"2,000 cc","24,000 km","Rs 90,000,000",Yes,
Toyota,Yaris,G Grade,2023,Automatic,Petrol,Hatchback,"1,000 cc","4,000 km","Rs 12,750,000",Yes,
Nissan,Almera,,2024,Automatic,Petrol,Saloon,"1,000 cc",0 km,"Rs 14,000,000",No,
Mazda,Other Model,Flair Custom XT,2024,Automatic,Hybrid,Hatchback,660 cc,"2,900 km","Rs 9,275,000",Yes,
Honda,City,GD8,2003,Automatic,Petrol,Saloon,"1,500 cc","145,000 km","Rs 4,850,000",No,
Daihatsu,Other Model,TAFT G Chrome Ventur,2024,Automatic,Petrol,Hatchback,660 cc,0 km,"Rs 9,675,000",Yes,
Toyota,Aqua,X Urban,2015,Automatic,Hybrid,Hatchback,"1,500 cc","120,000 km","Rs 9,375,000",No,
Toyota,Land Cruiser Prado,TX-L,2015,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","75,000 km","Rs 41,500,000",Yes,
Toyota,Yaris,X Grade,2024,Automatic,Petrol,Hatchback,"1,000 cc","3,000 km","Rs 9,900,000",Yes,
Toyota,Vitz,,2002,Automatic,Petrol,Hatchback,990 cc,"100,000 km","Rs 4,500,000",Yes,
Nissan,Tiida,,2010,Automatic,Petrol,Saloon,"1,500 cc","54,000 km","Rs 6,600,000",Yes,
Audi,Q2,TFSI,2019,Tiptronic,Petrol,,"1,000 cc","77,000 km","Rs 16,500,000",No,
Toyota,Land Cruiser Sahara,LC 300,2024,Automatic,Diesel,SUV / 4x4,"3,300 cc",0 km,"Rs 109,000,000",No,
Nissan,Dayz,Nissan Dayz Hybrid,2023,Automatic,Hybrid,Hatchback,660 cc,"8,000 km","Rs 8,150,000",No,
Toyota,Land Cruiser Sahara,V6 Diesel 7 seats,2025,Automatic,Diesel,SUV / 4x4,"3,500 cc",20 km,"Rs 129,500,000",Yes,
Suzuki,Wagon R,Custom Z,2022,Automatic,Petrol,Hatchback,660 cc,"20,000 km","Rs 9,450,000",Yes,
Mitsubishi,L200,,2020,Manual,Diesel,Coupé/Sports,"2,500 cc","52,000 km","Rs 17,500,000",Yes,
Mercedes Benz,C200,AMG Premium Plus,2025,Automatic,Petrol,Saloon,"1,496 cc",0 km,"Rs 46,500,000",No,
Hyundai,Sonata,SE,2000,Automatic,Petrol,Saloon,"2,000 cc","200,000 km","Rs 2,550,000",Yes,
Tata,Nano,2016,2016,Tiptronic,Petrol,Hatchback,624 cc,"980,000 km","Rs 2,275,000",Yes,
Audi,Q7,45 TFSI Quattro,2024,Tiptronic,Petrol,SUV / 4x4,"2,000 cc",0 km,"Rs 68,500,000",No,
Land Rover,Range Rover,SWB Autobiography,2018,Automatic,Petrol,Station wagon,"2,000 cc","98,000 km","Rs 65,000,000",Yes,
Honda,CRV,,2018,Automatic,Petrol,SUV / 4x4,"1,500 cc","71,000 km","Rs 21,850,000",No,
Toyota,Axio,Toyota Axio WXB 2017,2017,Automatic,Hybrid,Saloon,"1,490 cc","108,555 km","Rs 13,850,000",No,
Toyota,Harrier,Z  Leather Package,2023,Automatic,Petrol,SUV / 4x4,"2,000 cc","9,500 km","Rs 37,900,000",No,
Suzuki,Wagon R Stingray,,2014,Automatic,Petrol,Hatchback,650 cc,"87,730 km","Rs 5,850,000",Yes,
Honda,Vezel,Z,2023,Automatic,Hybrid,SUV / 4x4,"1,500 cc","26,000 km","Rs 20,500,000",Yes,
BYD,ATTO 3,Top Fully Loaded,2024,Automatic,Electric,SUV / 4x4,220 cc,50 km,"Rs 25,450,000",Yes,
Toyota,Aqua,X Urban,2015,Automatic,Petrol,Saloon,"1,500 cc","120,000 km","Rs 9,500,000",Yes,
Toyota,Corsa,,1993,Manual,Diesel,Saloon,"1,480 cc","229,592 km","Rs 2,100,000",No,
BMW,520d,,2012,Automatic,Diesel,Saloon,"1,998 cc","180,000 km","Rs 23,500,000",Yes,
Toyota,Axio,,2019,Automatic,Petrol,Saloon,"1,500 cc","74,000 km","Rs 15,000,000",Yes,
Toyota,Passo,XL Safety Package,2023,Automatic,Petrol,Hatchback,"1,000 cc",0 km,"Rs 9,350,000",Yes,
Toyota,Corolla,2 NL30,1990,Manual,Diesel,Hatchback,"1,500 cc","255,595 km","Rs 2,790,000",Yes,
Mercedes Benz,C200,AMG  Premium Plus,2025,Automatic,Petrol,Saloon,"1,496 cc",0 km,"Rs 46,500,000",No,
Suzuki,Estilo,,2010,Manual,Petrol,Hatchback,"1,000 cc","77,000 km","Rs 3,975,000",Yes,
Suzuki,Hustler,J Style 3,2018,Automatic,Petrol,,658 cc,"77,500 km","Rs 7,250,000",Yes,
Toyota,Premio,32000 KM,2016,Automatic,Petrol,Saloon,"1,500 cc","32,000 km","Rs 16,950,000",No,
Toyota,Hilux,Toyota,2010,Manual,Diesel,SUV / 4x4,"3,000 cc","156,100 km","Rs 8,350,000",Yes,
Suzuki,Hustler,J Style 3,2018,Automatic,Petrol,,658 cc,"77,500 km","Rs 7,250,000",Yes,
Toyota,Aqua,,2014,Automatic,Petrol,,"1,490 cc","204,000 km","Rs 8,075,000",Yes,
Toyota,Allion,,2017,Automatic,Petrol,Saloon,"1,490 cc","78,000 km","Rs 15,250,000",Yes,
Nissan,Dutsun,1992,1992,Manual,Diesel,Saloon,"1,700 cc","100,000 km","Rs 1,500,000",Yes,
Suzuki,Wagon R FX,safty,2017,Automatic,Petrol,Hatchback,650 cc,"81,000 km","Rs 6,050,000",Yes,
Land Rover,Range Rover Velar,P400e Dynamic HSE,2024,Automatic,Hybrid,SUV / 4x4,"2,000 cc","4,808 km","Rs 69,000,000",No,
Honda,Vezel,Honda Vezel Z Play,2025,Automatic,Hybrid,SUV / 4x4,"1,500 cc",0 km,"Rs 25,850,000",Yes,
Nissan,Sunny,N16,2008,Manual,Petrol,Saloon,"1,300 cc","100,750 km","Rs 4,700,000",Yes,
Ford,Mustang,Mach-E,2024,Automatic,Electric,SUV / 4x4,258 cc,0 km,"Rs 50,000,000",Yes,
Land Rover,Range Rover PHEV,Vogue 2019 (SWB),2019,Automatic,Petrol,SUV / 4x4,"2,000 cc","30,000 km","Rs 79,500,000",Yes,
Suzuki,Wagon R,Stingray Hybrid,2017,Automatic,Hybrid,,650 cc,"83,000 km","Rs 7,650,000",Yes,
Mercedes Benz,Other Model,S680 Maybach B/New,2025,Automatic,Petrol,Saloon,"4,000 cc",0 km,"Rs 350,000,000",Yes,
Toyota,Land Cruiser Prado,LAND CRISER TX L,2017,Automatic,Petrol,SUV / 4x4,"2,700 cc","62,000 km","Rs 46,500,000",Yes,
Mercedes Benz,Other Model,G800 AMG,2025,Automatic,Petrol,SUV / 4x4,"4,000 cc",0 km,"Rs 320,000,000",Yes,
Toyota,Premio,G Superior,2012,Automatic,Petrol,Saloon,"1,500 cc","154,000 km","Rs 11,500,000",Yes,
Hyundai,Santa Fe,2007,2007,Automatic,Petrol,SUV / 4x4,"2,600 cc","145,000 km","Rs 6,250,000",Yes,
Audi,Q3,2019,2019,Automatic,Petrol,SUV / 4x4,"1,500 cc","31,000 km","Rs 28,500,000",Yes,
Suzuki,Wagon R FX,Safety Premium Brown,2024,Automatic,Petrol,Hatchback,660 cc,"3,769 km","Rs 8,190,000",Yes,
Toyota,CHR,GT,2017,Automatic,Petrol,SUV / 4x4,"1,200 cc","88,000 km","Rs 13,250,000",Yes,
Toyota,Land Cruiser Prado,TX L Package,2023,Tiptronic,Petrol,SUV / 4x4,"2,700 cc","18,000 km","Rs 58,000,000",Yes,
Toyota,Land Cruiser Sahara,Diesal,2016,Automatic,Diesel,SUV / 4x4,"4,500 cc","88,000 km","Rs 78,500,000",Yes,
Suzuki,Hustler,G,2024,Automatic,Petrol,Hatchback,660 cc,40 km,"Rs 8,850,000",Yes,
Ford,Raptor Ranger,New,2025,Tiptronic,Diesel,SUV / 4x4,"2,000 cc",10 km,"Rs 33,200,000",Yes,
Toyota,Land Cruiser Prado,TRJ150W,2023,Automatic,Petrol,SUV / 4x4,"2,700 cc","13,000 km","Rs 53,000,000",No,
Suzuki,Wagon R FZ,,2018,Automatic,Petrol,Hatchback,650 cc,"94,000 km","Rs 6,800,000",No,
MG,ZS,MG,2019,Automatic,Petrol,SUV / 4x4,999 cc,"12,800 km","Rs 11,250,000",No,
Toyota,Premio,,2007,Automatic,Petrol,Saloon,"1,500 cc","177,500 km","Rs 10,200,000",Yes,
Daihatsu,Mira,Mira Japan unregiste,2023,Automatic,Petrol,Hatchback,660 cc,"3,600 km","Rs 6,990,000",Yes,
Toyota,Hilux,ROCCO,2025,Automatic,Diesel,SUV / 4x4,"2,800 cc",0 km,"Rs 25,300,000",No,
